,Diagnosis,Vs_Norm_Diagnosis,Region_Column,ROI_Name,Diagnosis_Mean,Diagnosis_Std,Norm_Mean,Norm_Std,Mean_Difference,Cliffs_Delta,Cliffs_Delta_CI_Low,Cliffs_Delta_CI_High,Significant_Bootstrap_p05_uncorrected,Cohens_d,P_Value_Uncorrected,Abs_Cliffs_Delta,Abs_Cohens_d
69,MDD,HC,region_69_z_score,[N] Left Ventral DC (Vgm),1.0550894260033397,1.4817578026973455,0.9751801437988061,1.4136649054480643,0.07990928220453353,0.01995344858455846,-0.058693244739756366,0.10621282352239043,False,0.05550885382418262,0.66375,0.01995344858455846,0.05550885382418262
70,MDD,HC,region_70_z_score,[N] Left vessel (Vgm),1.9067949355663606e-07,2.3744307239415674e-07,2.2508985968323793e-07,4.007440586709451e-07,-3.4410366126601865e-08,-0.042605818263804614,-0.1267431913581475,0.03520533683463638,False,-0.09871316990475763,0.5325,0.042605818263804614,0.09871316990475763
71,MDD,HC,region_71_z_score,[N] Optic Chiasm (Vgm),1.7885198058686274,2.37854769579544,1.0041578883562725,1.614872978712551,0.7843619175123548,0.13316224693470202,0.04377291927772362,0.21359937931446077,True,0.40496486427675565,0.53,0.13316224693470202,0.40496486427675565
72,MDD,HC,region_72_z_score,[N] Right ACgG anterior cingulate gyrus (Vgm),1.4982128026044406,2.378265347022551,0.908647540184726,1.5617817786364876,0.5895652624197145,0.14702157147499023,0.05666408047691991,0.23257803330216642,True,0.30878164422249144,0.49375,0.14702157147499023,0.30878164422249144
73,MDD,HC,region_73_z_score,[N] Right AIns anterior insula (Vgm),1.4467118511278936,2.297058314830198,0.9565028268244777,1.4928503392394135,0.49020902430341584,0.11914377225615215,0.034489161212458805,0.20848004986704333,True,0.2669722775477492,0.51625,0.11914377225615215,0.2669722775477492
74,MDD,HC,region_74_z_score,[N] Right AOrG anterior orbital gyrus (Vgm),1.17275760583143,1.53535832502633,0.8154426936602039,1.1960439815282546,0.357314912171226,0.1541568026737223,0.07312285727548226,0.24334719265787363,True,0.2679639583955833,0.47375,0.1541568026737223,0.2679639583955833
75,MDD,HC,region_75_z_score,[N] Right Accumbens Area (Vgm),0.8300826255932898,1.1617923282271458,0.8323739322783449,1.0658645591517883,-0.002291306685055061,-0.035457324553550704,-0.11650453246331258,0.04539094568338406,False,-0.002077687679077216,0.535,0.035457324553550704,0.002077687679077216
76,MDD,HC,region_76_z_score,[N] Right Amygdala (Vgm),1.5643943572316543,4.767633201546169,1.0937745323833636,2.532164644088654,0.4706198248482907,0.03309659750266908,-0.05186305130602582,0.11950186006724094,False,0.13294513222713827,0.5525,0.03309659750266908,0.13294513222713827
77,MDD,HC,region_77_z_score,[N] Right AnG angular gyrus (Vgm),0.9265166072002547,1.2507828112988653,0.9371790485307828,1.3633940702852358,-0.010662441330528072,0.017911021810200198,-0.05708848084561773,0.10565579803847455,False,-0.008063622777409834,0.69125,0.017911021810200198,0.008063622777409834
78,MDD,HC,region_78_z_score,[N] Right Basal Forebrain (Vgm),0.9985248266008885,1.3576459228372242,1.0030190185670507,1.652932838073933,-0.0044941919661621865,0.00261934602555686,-0.08058965126225953,0.08080185144660844,False,-0.002901703209057425,0.9625,0.00261934602555686,0.002901703209057425
